,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,Ca [mg/kg]
0,43.2764,-2.0256,0.0369465648854961,2179.0,1743.0,1467.0,1577.0,2171.0,2217.0,2312.0,1698.0,2209.0,957.0,12.0,1791.0,1227.0,-8772635814.889332,-4094955489.6142445,1049618320.6106877,15037974683.544302,1263736263.7362607,2245862884.1607566,-12280000000.000013,16018808777.429487,-15572139303.482586,-2205882352.941176,7406328059.950047,-958043145.9147274,9.411831640392525e+16,7.632898828226904e+16,1.3347668285242008e+17,-3.48714896704001e+17,2.698150056111246e+16,-3.4340101380994726e+17,5.6597617554859066e+17,-9.903118520662103e+17,1.662469769967837e+17,2.2437465949792764e+16,-3.4822527917838384e+16,1.0,0.7928364504980686,0.6593871001762766,0.6960086198819451,0.951682303184364,0.9658202863561027,1.0,0.7445250921534817,0.9771542457349609,0.43298604805654284,0.006180428877432218,1.0,1770.0
1,43.1697,-2.3242,0.0357788218286953,1410.0,1449.0,1335.0,1334.0,1534.0,1764.0,1737.0,1433.0,1826.0,664.0,9.0,1530.0,1440.0,784708249.4969815,-1691394658.7537096,-9541984.732824434,5063291139.240506,6318681318.681303,-638297872.3404255,-6080000000.000007,12319749216.300955,-14452736318.407959,-1528944911.297852,6332223147.37719,-152879225.4119246,-4.9820984069430376e+16,2.495330376885587e+16,4.84048962211196e+16,3.1782029859260676e+16,-1.9112580195114592e+17,-1.2864544037020286e+17,3.6799498432601965e+17,-8.392628694266127e+17,1.607436742177874e+17,1.8350065496440336e+16,-2.6998760919188668e+16,1.0,0.9863320866813959,0.8617357615041376,0.7970001440463709,0.8914817451470786,1.0,0.9730460409342957,0.7916796034364805,1.0,0.368315916307715,0.005359748636323205,0.9503859298298761,2500.0
2,43.3342,-5.3128,0.1085714285714285,1012.0,682.0,397.0,234.0,276.0,428.0,495.0,291.0,474.0,185.0,7.0,246.0,122.0,-6639839034.205228,-4228486646.884274,-1555343511.4503827,1063291139.2405063,4175824175.824166,1583924349.8817966,-4080000000.0000043,5736677115.987468,-3594527363.184079,-415499533.14659184,995004163.1973362,-210633599.45642942,4.851815668653828e+16,3.966087738032481e+16,2.4986971857737504e+16,7.879830472363694e+16,-7.1206039174240744e+16,-1.338989208009882e+17,1.9633354231974966e+17,-2.925142469959736e+17,3.954014713976974e+16,3292492288384518.5,-5019307921123091.0,1.0,0.6910784705186057,0.4166777903866486,0.26006643991184625,0.31371042877450694,0.4968757883758955,0.5892939268969642,0.35718674182706045,0.5935640437438142,0.24409483711389926,0.012933476577806656,0.5860692225460665,10.0
3,43.7008,-7.6636,0.0411892226695571,5355.0,4905.0,4490.0,4644.0,4704.0,5034.0,5259.0,5043.0,5409.0,2339.0,33.0,3189.0,2031.0,-9054325955.734402,-6157270029.673593,1469465648.8549628,1518987341.7721517,9065934065.934044,5319148936.170213,-4320000000.000005,11473354231.974936,-38184079601.99004,-5382819794.584499,13139050791.007504,-1967046033.6334298,5.829086370343677e+16,1.1315631570517147e+17,472535237759436.2,1.9106194238384534e+17,-1.0293365741109402e+17,-2.2787586137518243e+17,3.158670846394992e+17,-1.5566593678358948e+18,4.079758682513127e+17,4.3234992029859944e+16,-6.2889662050961464e+16,1.0,0.9148798551403766,0.8361290645996392,0.8626526910951291,0.8729784299011366,0.9334136886684214,0.9741558968637797,0.9330391305022624,1.0,0.44929173964705865,0.008001623522544729,0.9065833062958085,9.0
4,43.63,-7.9478,0.0417022487902078,6616.0,6557.0,6293.0,6733.0,6860.0,7337.0,7680.0,7319.0,7890.0,3089.0,30.0,5334.0,3435.0,-1187122736.4185104,-3916913946.5875382,4198473282.442751,3215189873.4177213,13104395604.395573,8108747044.917257,-7220000000.000008,17899686520.376198,-59713930348.258705,-7140522875.816992,22081598667.776867,-3225751656.191609,-5.492537646215345e+16,1.2040633870964824e+17,-9382475276956396.0,2.5035963875893293e+17,-1.3724309229335998e+17,-3.623817268301954e+17,5.023937304075247e+17,-2.4330287419634796e+18,6.53898102891066e+17,6.821223516245063e+16,-1.0535949343866982e+17,1.0,0.9683251161624161,0.9012729629392563,0.9210402834329873,0.922813546482616,0.9720887440119849,1.0,0.9373473006699068,1.0,0.40526142351453787,0.004842207455848385,0.9885882373479042,2500.0
5,43.5681,-8.1842,0.0384949348769898,7031.0,6652.0,6215.0,6644.0,6831.0,7158.0,7404.0,7176.0,7530.0,4021.0,149.0,5262.0,3863.0,-7625754527.162973,-6483679525.222553,4093511450.381682,4734177215.189873,8983516483.516462,5815602836.879433,-4560000000.000005,11097178683.385593,-43644278606.96517,-9038281979.458448,21286427976.68611,-2376422626.125361,2.2979376296587916e+16,1.5693161684872755e+17,6113222946643046.0,1.0757820932472378e+17,-8.703059468783027e+16,-2.4528611907516397e+17,3.131435736677123e+17,-1.7160331438981453e+18,4.304228436257055e+17,7.078597095271838e+16,-9.851311658123018e+16,1.0,0.9382534867765353,0.866870627541778,0.9109619856013859,0.9306417526327347,0.9695064730886398,0.9960775529929161,0.957785959695192,1.0,0.550098372332606,0.024285925983653645,0.9607822941409153,928.0
6,43.4031,-4.9975,0.0300172168575492,6532.0,6485.0,6118.0,6479.0,6515.0,6760.0,7059.0,6880.0,7206.0,2931.0,87.0,5230.0,4049.0,-945674044.265593,-5445103857.566767,3444656488.5496206,911392405.0632911,6730769230.769215,7068557919.621749,-3580000000.000004,10219435736.677128,-53171641791.04477,-6638655462.184873,21411323896.75272,-2006115169.016477,-9.053178698795114e+16,1.3189555409668232e+17,-2.417236720883904e+16,1.473259955874917e+17,9279909034410260.0,-2.5173895791067974e+17,2.7598871473354294e+17,-1.987181113721692e+18,5.787684866773618e+17,6.547614229443881e+16,-9.749141992410163e+16,1.0,0.9808846718306778,0.910548504575709,0.9408386861049132,0.9374779638990528,0.9646623661429183,0.997711314554283,0.961558523899566,1.0,0.41774426460736835,0.014487392708490728,0.9616897515134696,315.0
7,43.2792,-4.9872,0.0030504216759375,8304.0,8170.0,7775.0,8334.0,8317.0,8480.0,8864.0,8385.0,8992.0,3379.0,39.0,4539.0,2909.0,-2696177062.3742437,-5860534124.629082,5333969465.648858,-430379746.835443,4478021978.021967,9078014184.397163,-9580000000.000011,19028213166.144222,-69813432835.82089,-7796451914.098971,18734388009.991688,-2768812638.0159674,-6.3669156182189864e+16,1.660905577192573e+17,-5.500333218019374e+16,1.242633348065167e+17,1.2637341226305454e+17,-4.41087805777711e+17,5.721642633228853e+17,-2.7850045768641137e+18,7.713554841010189e+17,6.193006518228444e+16,-8.952206764366224e+16,1.0,0.9742619833560914,0.915048877307176,0.961314985912619,0.9522103536608947,0.9642554707547922,1.0,0.9376945760127238,1.0,0.39170487707761154,0.005839805551376562,0.812562869429621,743.0
8,43.262,-4.9986,0.0006539366989275,7620.0,7559.0,7176.0,7641.0,7599.0,7801.0,8109.0,7651.0,8254.0,2769.0,31.0,4229.0,2687.0,-1227364185.1106632,-5682492581.602375,4437022900.763362,-1063291139.2405063,5549450549.450536,7281323877.068558,-9160000000.00001,18902821316.614445,-68221393034.82587,-6391223155.929037,17477102414.65447,-2619330728.724308,-8.964041039218731e+16,1.5014117926358666e+17,-5.248391259545679e+16,1.6741118199217827e+17,4.757893757192357e+16,-3.886837795997297e+17,5.612564263322897e+17,-2.7311665940890414e+18,7.69031963667871e+17,5.571504568296802e+16,-8.366541691664776e+16,1.0,0.9823685990710993,0.920480598479933,0.9607241206646104,0.948367163629296,0.9669775269109928,0.9972997118204332,0.9323581069323458,1.0,0.3496474490854972,0.005051684112760634,0.8232517757487645,2500.0
9,43.2606,-5.013,0.0069295703666372,7629.0,7702.0,7332.0,7882.0,7852.0,8069.0,8401.0,7992.0,8558.0,2916.0,33.0,4618.0,2996.0,1468812877.2635806,-5489614243.323443,5248091603.053438,-759493670.8860759,5961538461.538447,7848699763.59338,-8180000000.000009,17742946708.46397,-70174129353.23383,-6729691876.750699,19088259783.513752,-2755223373.5349073,-1.4000859397559395e+17,1.5931314312131875e+17,-5.7324286965071736e+16,1.7015271221327907e+17,5.184509071579473e+16,-3.7892907242537555e+17,5.184589341692801e+17,-2.756021193156674e+18,7.891099188617303e+17,6.026599360472559e+16,-9.093873087863728e+16,1.0,0.9948571421409558,0.928711664077801,0.9691743792331381,0.954957290628026,0.9715854473912334,1.0,0.9405840188684478,1.0,0.3545846513449077,0.005122259674445304,0.8483129574762966,2500.0
