B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
2006.0,1815.0,1662.0,1705.0,2013.0,2252.0,2375.0,1817.0,2344.0,621.0,10.0,1862.0,1299.0,5.88
1230.0,1493.0,1382.0,1741.0,1650.0,2020.0,2388.0,2016.0,2446.0,536.0,10.0,2623.0,2194.0,12.16
1127.0,773.0,502.0,322.0,318.0,384.0,396.0,366.0,314.0,253.0,12.0,198.0,100.0,3.79
1125.0,753.0,447.0,291.0,293.0,363.0,380.0,321.0,406.0,338.0,15.0,343.0,189.0,7.78
1166.0,777.0,463.0,271.0,260.0,291.0,274.0,244.0,277.0,366.0,16.0,124.0,70.0,11.98
1152.0,785.0,470.0,285.0,275.0,286.0,277.0,248.0,246.0,142.0,12.0,109.0,46.0,11.75
1178.0,782.0,475.0,262.0,306.0,367.0,376.0,267.0,354.0,337.0,14.0,176.0,122.0,14.83
1063.0,766.0,541.0,283.0,237.0,224.0,224.0,182.0,177.0,66.0,7.0,57.0,31.0,1.54
1161.0,782.0,478.0,269.0,257.0,281.0,292.0,256.0,246.0,101.0,6.0,80.0,39.0,4.74
4930.0,3803.0,3151.0,2965.0,3351.0,3775.0,3476.0,2947.0,3302.0,1471.0,9.0,107.0,80.0,5.9
3568.0,2739.0,2295.0,2231.0,2702.0,2829.0,2711.0,2035.0,2657.0,1024.0,11.0,168.0,128.0,40.18
6425.0,6574.0,6595.0,6965.0,7187.0,7039.0,6665.0,5803.0,6168.0,2172.0,7.0,253.0,160.0,3.31
1020.0,701.0,590.0,303.0,526.0,415.0,423.0,240.0,430.0,323.0,10.0,453.0,255.0,3.32
1548.0,1529.0,1913.0,2832.0,2904.0,3175.0,3467.0,3386.0,3628.0,1048.0,18.0,4579.0,3712.0,0.36
1834.0,2129.0,2816.0,4140.0,4202.0,4544.0,4873.0,4823.0,5212.0,1218.0,20.0,5656.0,4528.0,0.52
2098.0,2456.0,2630.0,3103.0,3015.0,3248.0,3513.0,3549.0,3811.0,1127.0,15.0,4743.0,3871.0,1.3
1676.0,1811.0,2190.0,2861.0,2988.0,3284.0,3608.0,3494.0,3866.0,901.0,14.0,4657.0,3809.0,1.08
1546.0,1583.0,1550.0,1776.0,1723.0,1914.0,2156.0,1972.0,2235.0,782.0,17.0,2403.0,1824.0,1.65
1659.0,1827.0,2096.0,2776.0,2421.0,2726.0,2885.0,3351.0,3284.0,960.0,16.0,4079.0,2942.0,2.88
2277.0,3567.0,3696.0,4077.0,3345.0,3683.0,4044.0,4684.0,4282.0,1257.0,18.0,4755.0,3977.0,2.58
1652.0,1758.0,2004.0,2646.0,2624.0,2833.0,3102.0,3203.0,3359.0,907.0,19.0,4407.0,3522.0,11.11
1402.0,2026.0,2023.0,2184.0,1864.0,2210.0,2492.0,2606.0,2664.0,970.0,17.0,3828.0,2872.0,1.11
1354.0,1128.0,1105.0,662.0,532.0,351.0,288.0,242.0,164.0,350.0,8.0,126.0,47.0,3.42
1859.0,2264.0,2579.0,2819.0,2717.0,2468.0,2732.0,2947.0,2641.0,644.0,13.0,2871.0,2442.0,2.56
1671.0,1432.0,1244.0,1112.0,1107.0,1304.0,1421.0,1301.0,1457.0,364.0,10.0,967.0,686.0,2.52
1679.0,1819.0,1876.0,2135.0,2288.0,2686.0,2908.0,2548.0,3173.0,952.0,15.0,3322.0,2619.0,3.47
886.0,623.0,427.0,229.0,207.0,209.0,212.0,174.0,177.0,86.0,9.0,77.0,55.0,6.93
2144.0,2303.0,2783.0,3648.0,3820.0,4144.0,4478.0,4354.0,4704.0,1390.0,22.0,5845.0,4068.0,0.69
1934.0,2136.0,2182.0,2333.0,1693.0,1982.0,2017.0,2170.0,1891.0,663.0,15.0,2174.0,1746.0,2.63
1140.0,756.0,457.0,275.0,335.0,415.0,375.0,280.0,409.0,455.0,15.0,266.0,167.0,2.4
1165.0,762.0,475.0,303.0,301.0,325.0,331.0,263.0,285.0,408.0,12.0,213.0,116.0,6.17
4728.0,4045.0,4038.0,4345.0,4441.0,4185.0,4418.0,4329.0,4274.0,2673.0,50.0,1073.0,738.0,38.15
