B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
2006,1815,1662,1705,2013,2252,2375,1817,2344,621,10,1862,1299,5.2
1230,1493,1382,1741,1650,2020,2388,2016,2446,536,10,2623,2194,4.1
1127,773,502,322,318,384,396,366,314,253,12,198,100,4.8
1125,753,447,291,293,363,380,321,406,338,15,343,189,4.7
1166,777,463,271,260,291,274,244,277,366,16,124,70,4.6
1152,785,470,285,275,286,277,248,246,142,12,109,46,4.9
1178,782,475,262,306,367,376,267,354,337,14,176,122,6.8
1063,766,541,283,237,224,224,182,177,66,7,57,31,7.9
1161,782,478,269,257,281,292,256,246,101,6,80,39,6.7
4930,3803,3151,2965,3351,3775,3476,2947,3302,1471,9,107,80,6.3
3568,2739,2295,2231,2702,2829,2711,2035,2657,1024,11,168,128,6.7
6425,6574,6595,6965,7187,7039,6665,5803,6168,2172,7,253,160,5.7
1020,701,590,303,526,415,423,240,430,323,10,453,255,5.3
1548,1529,1913,2832,2904,3175,3467,3386,3628,1048,18,4579,3712,8.1
1834,2129,2816,4140,4202,4544,4873,4823,5212,1218,20,5656,4528,8.2
2098,2456,2630,3103,3015,3248,3513,3549,3811,1127,15,4743,3871,6.9
1676,1811,2190,2861,2988,3284,3608,3494,3866,901,14,4657,3809,6.3
1546,1583,1550,1776,1723,1914,2156,1972,2235,782,17,2403,1824,6.1
1659,1827,2096,2776,2421,2726,2885,3351,3284,960,16,4079,2942,6.7
2277,3567,3696,4077,3345,3683,4044,4684,4282,1257,18,4755,3977,6.5
1652,1758,2004,2646,2624,2833,3102,3203,3359,907,19,4407,3522,5.9
1402,2026,2023,2184,1864,2210,2492,2606,2664,970,17,3828,2872,5.7
1354,1128,1105,662,532,351,288,242,164,350,8,126,47,7.8
1859,2264,2579,2819,2717,2468,2732,2947,2641,644,13,2871,2442,6.7
1671,1432,1244,1112,1107,1304,1421,1301,1457,364,10,967,686,6.2
1679,1819,1876,2135,2288,2686,2908,2548,3173,952,15,3322,2619,8.2
886,623,427,229,207,209,212,174,177,86,9,77,55,5.2
2144,2303,2783,3648,3820,4144,4478,4354,4704,1390,22,5845,4068,5.5
1934,2136,2182,2333,1693,1982,2017,2170,1891,663,15,2174,1746,6.1
1140,756,457,275,335,415,375,280,409,455,15,266,167,5.2
1165,762,475,303,301,325,331,263,285,408,12,213,116,7.5
1571,1222,1189,1386,1998,2072,2360,1593,2277,883,19,3140,2573,7.9
1891,1600,1591,2496,2591,2953,3112,2799,3132,819,18,3567,3077,8.5
2526,2392,2792,3368,3245,2073,2151,1773,1557,328,12,247,183,8.6
1698,1257,954,859,908,1019,955,660,915,255,9,765,656,7.9
2009,2071,2171,2367,2512,2712,2927,2730,3019,740,12,2540,1259,8.3
1914,2618,2950,3428,2941,3511,3822,3956,3926,943,15,4337,3290,8
1839,1841,2011,2476,2580,2889,3132,2941,3323,879,17,3670,2937,8.1
2067,2262,2736,3857,4063,4286,4591,4495,4794,1705,24,5538,4471,8.2
1877,2173,2594,3591,3477,3792,3992,4223,4293,1467,22,4948,4154,8.3
1925,1732,1974,2495,2573,2833,3032,2998,3107,1168,18,3347,2599,7.8
1782,1620,1554,1574,1654,1819,1900,1609,1858,696,14,1646,1317,8.6
1576,1369,1382,1580,1728,1909,2036,1900,2168,758,14,2428,1746,7.6
1714,1441,1477,1677,1753,1929,2081,1918,2162,647,15,2617,1957,7.9
1577,1443,1462,1738,1810,1958,2072,2078,2222,702,14,2293,1652,8
1954,1882,1754,1963,1933,2161,2154,2031,2210,842,14,2023,1599,8.4
1433,1003,650,396,523,620,688,447,708,131,14,432,299,7.9
1547,1615,1836,2287,2340,2504,2689,2605,2752,1015,14,2959,2297,8.1
1822,996,720,425,474,448,453,227,438,428,14,326,189,8.6
2643,2439,2305,2394,2480,2930,3153,2813,3197,853,10,1189,633,7.7
1134,777,481,272,269,289,302,266,297,153,12,208,98,4.8
1311,1096,1161,1608,1709,1894,2096,1950,2243,718,13,3015,2051,8.2
1299,1037,983,1451,1608,1777,1893,1679,1964,527,13,2086,1675,7.2
1279,1022,933,1338,1417,1585,1714,1606,1772,477,13,2280,1895,6.4
1264,1055,1044,1549,1618,1799,1957,1746,2031,576,13,2646,2130,7.7
1452,1357,1238,1307,1426,1675,1816,1587,2095,608,13,2620,1842,5.5
1887,2256,2538,2968,2761,3001,3225,3286,3377,669,17,3657,2886,7.9
2015,2247,2312,2834,2749,2964,3060,2802,2972,557,13,2695,1896,7.8
1599,1304,1411,1546,1597,1456,1606,1309,1370,261,9,415,219,6.1
1252,869,738,427,584,857,997,434,976,505,9,419,246,7
2030,2432,2491,2785,2852,2847,3250,2991,3220,810,16,3665,3150,7.5
1462,1624,1631,2009,1961,2165,2238,2201,2328,774,14,2828,2021,7.9
1480,1344,1355,1544,1619,1745,1903,1596,2020,837,16,2291,1853,7.9
1340,1399,1449,1648,1571,1753,1888,1818,2017,775,14,2145,1551,5.7
1472,1277,1251,1128,1316,1394,1529,1020,1572,354,12,1292,1012,7.6
1323,1363,1350,1490,1457,1693,1910,1749,2022,563,10,1940,1447,6.2
2476,2872,3293,4052,4129,4501,4833,4626,5173,1913,24,5696,4493,8.4
1938,2164,2339,2619,2647,2974,3136,3184,3176,1244,19,2812,2224,8.1
